condition_id,swap_variant,layer,logit_A,logit_B,delta_AB,rank_A,rank_B,j_score_A,j_score_B,j_delta_AB,j_rank_A,j_rank_B
sc5_swap,True,17,-113.0625,-113.375,0.3125,262133,262134,,,,,
sc5_swap,True,18,-111.75,-113.25,1.5,262133,262134,,,,,
sc5_swap,True,19,-109.0,-114.4375,5.4375,262133,262136,,,,,
sc5_swap,True,20,-96.0625,-97.5,1.4375,262133,262134,,,,,
sc5_swap,True,21,-92.25,-96.4375,4.1875,262131,262135,,,,,
sc5_swap,True,22,-94.375,-97.25,2.875,262133,262136,,,,,
sc5_swap,True,23,-92.125,-98.75,6.625,262134,262135,,,,,
sc5_swap,True,24,-94.75,-109.625,14.875,262133,262137,,,,,
sc5_swap,True,25,-91.9375,-113.75,21.8125,262133,262136,,,,,
sc5_swap,True,26,-86.9375,-108.8125,21.875,262134,262138,,,,,
sc5_swap,True,27,-66.8125,-81.625,14.8125,262133,262137,,,,,
sc5_swap,True,28,-82.6875,-94.5625,11.875,262135,262139,,,,,
sc5_swap,True,29,-53.40625,-36.0625,-17.34375,261998,253251,,,,,
sc5_swap,True,30,-45.65625,-24.609375,-21.046875,260278,152342,,,,,
sc5_swap,True,31,-30.609375,6.12890625,-36.73828125,203120,451,,,,,
sc5_swap,True,32,-22.15625,26.296875,-48.453125,94508,34,,,,,
sc5_swap,True,33,-15.0546875,26.015625,-41.0703125,30462,36,,,,,
sc5_swap,True,34,-16.328125,21.1875,-37.515625,37904,66,,,,,
sc5_swap,True,35,-9.5703125,20.59375,-30.1640625,9544,60,,,,,
sc5_swap,True,36,-8.4765625,18.53125,-27.0078125,12036,81,,,,,
sc5_swap,True,37,-11.53125,10.890625,-22.421875,29683,179,,,,,
sc5_swap,True,38,-18.765625,-8.2890625,-10.4765625,152430,30177,,,,,
sc5_swap,True,39,-9.828125,-16.25,6.421875,139758,215249,,,,,
sc5_swap,True,40,2.16015625,-15.265625,17.42578125,32148,229089,,,,,
sc5_swap,True,41,10.1953125,16.6875,-6.4921875,1022,158,,,,,
sc5_swap,True,42,3.302734375,10.765625,-7.462890625,4662,322,,,,,
sc5_swap,True,43,-8.0703125,-11.4921875,3.421875,104114,162559,,,,,
sc5_swap,True,44,-8.328125,-8.4765625,0.1484375,118785,121457,,,,,
sc5_swap,True,45,-7.75,-2.203125,-5.546875,119927,37396,,,,,
sc5_swap,True,46,-3.15625,3.779296875,-6.935546875,55310,6513,,,,,
sc5_swap,True,47,-1.236328125,8.7421875,-9.978515625,34350,797,,,,,
sc5_swap,True,48,1.388671875,17.5,-16.111328125,11982,18,,,,,
sc5_swap,True,49,4.00390625,20.828125,-16.82421875,5118,9,,,,,
sc5_swap,True,50,5.30859375,18.46875,-13.16015625,3003,13,,,,,
sc5_swap,True,51,14.953125,19.6875,-4.734375,84,17,,,,,
sc5_swap,True,52,7.390625,10.9765625,-3.5859375,13222,4192,,,,,
sc5_swap,True,53,19.484375,14.6484375,4.8359375,23,193,,,,,
